PATIENT,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP,FULLNAME,AGE
47c49827-3d8c-4a8c-9486-9678ba939868,1998-08-29,,999-96-3377,S99990154,X25359238X,Ms.,Thomasena,Lemke,NA,,,white,portuguese,F,Funchal  Madeira  PT,711 Wuckert Walk,Hardwick,Massachusetts,NA,Thomasena Lemke,20
1fb62d11-9cd4-4324-8632-5ac2a3194acc,1999-12-19,,999-12-5707,S99924753,,Ms.,Keren,Erdman,NA,,,white,american,F,West Bridgewater  Massachusetts  US,731 Jones Port,Newton,Massachusetts,2458,Keren Erdman,19
10669dd3-f301-44a6-9781-ad4cdced8328,1958-01-09,,999-59-7688,S99914975,X43106125X,Ms.,Kristel,Leannon,NA,,S,white,italian,F,Gloucester  Massachusetts  US,728 Ryan Walk,Bourne,Massachusetts,2532,Kristel Leannon,61
500f7be3-e7d6-4128-b4a5-a3c930c4e97c,1961-05-30,,999-41-4996,S99959574,X70314683X,Ms.,Catalina,Naranjo,NA,,S,hispanic,mexican,F,Gaudalajara  Jalisco  MX,429 Schimmel Brook Suite 71,Franklin,Massachusetts,2038,Catalina Naranjo,58
3ae3e0e5-796e-4e09-b5be-f9f59938360e,1978-02-14,,999-75-3070,S99934240,X30094916X,Ms.,Albert,Stehr,NA,,S,white,irish,F,Malden  Massachusetts  US,805 Haley Vista,Orange,Massachusetts,1364,Albert Stehr,41
43bdada2-5e25-4f67-a4af-7ee6010fcc68,1970-08-16,,999-97-5154,S99982784,X24248629X,Mrs.,Audrey,Kuhic,NA,Hills,M,hispanic,puerto_rican,F,Waltham  Massachusetts  US,583 Champlin Run,Raynham,Massachusetts,NA,Audrey Kuhic,48
454a29f0-dbe3-4bae-b5e2-c847e8f8088b,2012-02-25,,999-20-5775,,,,Candace,Turcotte,NA,,,white,french_canadian,F,Worcester  Massachusetts  US,626 McDermott Viaduct,West Springfield,Massachusetts,1089,Candace Turcotte,7
37d242a6-6aef-4a2f-9508-e1b6fd5181b6,2012-07-26,,999-12-4560,,,,Leonora,Streich,NA,,,asian,asian_indian,F,North Andover  Massachusetts  US,793 Ward Road,Cohasset,Massachusetts,NA,Leonora Streich,6
14eaa2c8-8557-4d65-8bb3-a019dee5cf07,1964-08-26,,999-90-4663,S99933408,X4173911X,Mrs.,Tiffanie,Jacobson,NA,Lehner,M,hispanic,puerto_rican,F,Waltham  Massachusetts  US,821 Medhurst Knoll Apt 27,Easthampton,Massachusetts,1027,Tiffanie Jacobson,54
2303de7a-33d5-4d7f-8d3c-f989eedc0dd2,2002-06-22,,999-73-9752,S99956413,,,Nelda,Nolan,NA,,,white,portuguese,F,Billerica  Massachusetts  US,385 Kovacek Union,North Andover,Massachusetts,NA,Nelda Nolan,17
2bf129a5-4da8-43d6-bcac-22aef6a5de93,2007-06-03,,999-86-7772,,,,Joslyn,Kemmer,NA,,,white,italian,F,Springfield  Massachusetts  US,359 Parisian Rapid,Lynn,Massachusetts,1901,Joslyn Kemmer,12
3bca398b-1748-43d2-8d1d-9533856eb36c,1996-01-04,,999-42-2418,S99923598,X68814101X,Ms.,Alona,Hagenes,NA,,,white,italian,F,Chicopee  Massachusetts  US,236 Schmeler Drive,Paxton,Massachusetts,NA,Alona Hagenes,23
0f0d2e50-e912-4067-b2e7-574c13e8c5b5,2008-10-04,,999-38-1178,,,,Cammie,Champlin,NA,,,white,polish,F,Brookline  Massachusetts  US,213 Purdy Port,Saugus,Massachusetts,1906,Cammie Champlin,10
3e537808-5d71-436d-87da-255fc7bef761,2001-06-30,,999-55-4624,S99986612,,,Clarice,Farrell,NA,,,white,english,F,Saugus  Massachusetts  US,952 Heidenreich Ramp,Springfield,Massachusetts,1013,Clarice Farrell,18
23c12702-a473-4b9b-8029-7b83b7f0215f,1969-01-05,,999-35-5407,S99934717,X66698630X,Mrs.,Louetta,Streich,NA,Daniel,M,white,irish,F,Fall River  Massachusetts  US,275 Morissette Club Unit 19,Hanover,Massachusetts,NA,Louetta Streich,50
255b9761-72a4-4150-ba26-191498e65361,2008-10-15,,999-94-1158,,,,Lien,Gottlieb,NA,,,white,irish,F,Burlington  Massachusetts  US,898 Barton Park Apt 50,Nantucket,Massachusetts,2554,Lien Gottlieb,10
3fc83e0e-240d-4697-acb4-7705bb45368e,1959-01-28,,999-73-4265,S99980984,X68318028X,Ms.,Retta,Altenwerth,NA,,S,white,german,F,Springfield  Massachusetts  US,774 Effertz Skyway Suite 92,Wayland,Massachusetts,NA,Retta Altenwerth,60
52ae85f0-8802-4016-b422-66d3b6558a5c,1987-07-06,,999-49-6464,S99917057,X35767370X,Mrs.,Aurore,Wisozk,NA,Casper,M,white,german,F,Boston  Massachusetts  US,451 Lakin Hollow Apt 40,Boston,Massachusetts,2108,Aurore Wisozk,32
47a56aea-3462-4af2-907f-10803c4ef3c6,1985-06-25,,999-54-8448,S99985310,X27844690X,Mrs.,Barb,Jenkins,NA,O'Hara,M,white,italian,F,Newton  Massachusetts  US,912 Parisian Boulevard,Boston,Massachusetts,2108,Barb Jenkins,34
40351cca-b002-468f-a2db-6e92a0b722b4,1955-01-24,,999-64-7337,S99926987,X83292013X,Mrs.,Patricia,Cazares,NA,Polanco,M,black,dominican,F,Salisbury  Saint Joseph Parish  DM,254 Kertzmann Estate,Boston,Massachusetts,2108,Patricia Cazares,64
450a3a0c-2193-4c8c-8f0a-b913f67abe46,1969-08-30,,999-15-7913,S99938716,X4401844X,Mrs.,Johana,Ernser,NA,Kuhn,M,white,irish,F,Lynn  Massachusetts  US,482 Nienow Glen Apt 9,Danvers,Massachusetts,1923,Johana Ernser,49
32ca5bc7-fecb-4a1e-b840-2fd865c88a1e,2011-07-28,,999-58-3441,,,,Leta,Hegmann,NA,,,white,irish,F,Marlborough  Massachusetts  US,1007 Welch Way,Acushnet,Massachusetts,NA,Leta Hegmann,7
1bd81007-66be-4e55-83dc-017214895039,1996-02-13,,999-19-4637,S99973711,X78339159X,Ms.,Cinthia,Braun,NA,,,black,dominican,F,Boston  Massachusetts  US,405 Hammes Alley,Halifax,Massachusetts,NA,Cinthia Braun,23
4719b3a0-e597-407b-a727-8316783fb728,2015-11-20,,999-82-3490,,,,Mariann,Little,NA,,,hispanic,puerto_rican,F,Worcester  Massachusetts  US,992 Jast Park,Framingham,Massachusetts,1701,Mariann Little,3
3e64d6b4-b0cb-49ba-af5d-c267e48289bc,1961-05-30,,999-81-9865,S99923288,X23460642X,Mrs.,Conchita,Rosas,NA,Meza,M,hispanic,puerto_rican,F,San Juan  Puerto Rico  PR,352 Schaden Annex,Methuen,Massachusetts,1841,Conchita Rosas,58
2126792c-845c-43c5-9cb5-2ea4b1c4a24f,1975-11-06,,999-72-4834,S99927903,X5553510X,Mrs.,Janey,Turcotte,NA,O'Kon,M,white,irish,F,Agawam  Massachusetts  US,795 Ondricka Street Apt 6,Peabody,Massachusetts,1940,Janey Turcotte,43
08ba4faf-628a-4ff1-9df5-73ef33e6ad03,1927-12-18,,999-23-8005,S99976129,X74109213X,Mrs.,Miguelina,Pagac,NA,Hickle,M,asian,asian_indian,F,Lynn  Massachusetts  US,444 Renner Well Unit 97,Malden,Massachusetts,2148,Miguelina Pagac,91
07e1995f-9570-4871-b957-c0eaa5f79bee,1936-11-02,,999-25-4662,S99988571,X26632519X,Mrs.,Shakia,Schiller,NA,Gutmann,M,white,italian,F,Dudley  Massachusetts  US,170 Kiehn Bridge,Wilmington,Massachusetts,1887,Shakia Schiller,82
0f93d1a5-6b73-489e-bcb5-d3525beba859,1936-06-18,,999-86-8450,S99983590,X45911000X,Mrs.,Bobbi,Volkman,NA,Murphy,M,white,irish,F,Boston  Massachusetts  US,303 Kris Hollow,Norwell,Massachusetts,NA,Bobbi Volkman,83
2e31a69f-9442-4238-ba86-2880468b073b,1999-03-06,,999-88-4625,S99990621,X10972624X,Ms.,Francis,Stehr,NA,,,white,portuguese,F,Cambridge  Massachusetts  US,643 Kuphal Burg,Bridgewater,Massachusetts,2324,Francis Stehr,20
1e0e698c-ef71-43ed-94d3-2214eb4a44b5,2016-09-24,,999-16-3105,,,,Cynthia,Lakin,NA,,,asian,chinese,F,Shanghai  Shanghai Municipality  CN,321 Ratke Extension Apt 82,Stoughton,Massachusetts,NA,Cynthia Lakin,2
4b687888-0724-4f59-bc81-a4ad318aa986,1953-12-21,,999-20-7681,S99924727,X42374721X,Ms.,Nicolle,Hane,NA,,S,white,italian,F,Southbridge  Massachusetts  US,854 Harber Harbor,Danvers,Massachusetts,1923,Nicolle Hane,65
15a3d783-ab5d-4671-a8d4-2d23383738a0,2002-12-02,,999-50-8664,S99995381,,,Temika,Abbott,NA,,,white,irish,F,Walpole  Massachusetts  US,761 Cruickshank Bypass Suite 11,Milton,Massachusetts,2186,Temika Abbott,16
265eaf35-a78c-49d2-915c-d36369c2469e,1963-03-03,,999-43-4312,S99943910,X74515779X,Ms.,Fermina,Metz,NA,,S,hispanic,puerto_rican,F,Dartmouth  Massachusetts  US,145 Rolfson Overpass,Scituate,Massachusetts,2066,Fermina Metz,56
11e2e643-f79a-4df8-9dd4-c80c537b8085,1998-10-21,,999-27-7882,S99986801,X76513983X,Ms.,Karolyn,Kutch,NA,,,white,english,F,Salem  Massachusetts  US,389 Adams Skyway Unit 49,Chicopee,Massachusetts,1013,Karolyn Kutch,20
423dab78-6ec5-4806-85ed-d27f2a9f628a,1995-04-26,,999-89-7189,S99993501,X57346323X,Ms.,Leslee,Schumm,NA,,,white,portuguese,F,Lisbon  Estremadura  PT,394 Shanahan Meadow Suite 32,Cambridge,Massachusetts,2138,Leslee Schumm,24
4550a684-8f9c-4522-9c08-be79523777a9,1987-01-12,,999-84-7532,S99949247,X7798218X,Mrs.,Hanna,Hyatt,NA,Beatty,M,white,portuguese,F,Funchal  Madeira  PT,363 Jacobson Manor Suite 74,Boston,Massachusetts,2108,Hanna Hyatt,32
1d955f4f-1de5-4a89-a25d-a2f57b8c5e2e,1969-12-15,,999-42-1002,S99986750,X67427852X,Ms.,Veola,Herzog,NA,,S,white,scottish,F,Boxford  Massachusetts  US,594 Hessel Underpass,Walpole,Massachusetts,2081,Veola Herzog,49
3c597a24-3980-46e3-9951-26ee42a2c58c,1992-04-08,,999-85-2523,S99914854,X74735035X,Ms.,Krystin,Weissnat,NA,,S,black,african,F,East Longmeadow  Massachusetts  US,1000 Witting Drive,Boston,Massachusetts,2108,Krystin Weissnat,27
432bcce7-9dc0-49b8-ae42-bea089edde62,1985-04-12,,999-89-3734,S99935598,X2276607X,Mrs.,Tawana,Schmitt,NA,Leuschke,M,black,west_indian,F,Haverhill  Massachusetts  US,286 Bashirian Flat,Boston,Massachusetts,2108,Tawana Schmitt,34
4cef48cc-e4df-4cc5-806b-269eed9ae84a,1989-08-04,,999-12-4874,S99972935,X47597966X,Mrs.,Roberto,Deckow,NA,Will,M,hispanic,central_american,F,Medford  Massachusetts  US,874 Hoeger Ville,Lawrence,Massachusetts,1840,Roberto Deckow,29
29cc62d7-f1b5-40db-9129-a729efe4ac7f,1980-03-15,,999-25-8074,S99918643,X83437301X,Mrs.,Dionna,Ankunding,NA,Hagenes,M,white,english,F,Leominster  Massachusetts  US,714 Effertz Spur Suite 10,Southampton,Massachusetts,NA,Dionna Ankunding,39
27858693-2bef-43ca-969e-c3cdabadf835,1965-04-20,,999-82-6669,S99998239,X27293860X,Ms.,Jeanmarie,Trantow,NA,,S,white,irish,F,Seekonk  Massachusetts  US,598 Bogisich Drive,Bourne,Massachusetts,2532,Jeanmarie Trantow,54
1ac1ffcb-313d-4609-9988-f2b84c085e2b,1964-08-02,,999-54-1832,S99930616,X14697282X,Mrs.,Laraine,Wiegand,NA,Feil,M,white,scottish,F,Holyoke  Massachusetts  US,414 Runte Skyway Unit 8,Middleton,Massachusetts,NA,Laraine Wiegand,54
16d1a15f-148c-435b-bd49-12519f253bcd,2017-06-13,,999-82-9998,,,,Darcie,Cremin,NA,,,white,portuguese,F,Faro  Algarve  PT,415 Harber Parade Apt 30,Everett,Massachusetts,2148,Darcie Cremin,2
3ea5345d-cf0d-466d-a0a8-d778c9c101a7,1974-12-30,,999-98-6064,S99921024,X84882469X,Mrs.,Yasmine,Ruecker,NA,Zieme,M,white,french_canadian,F,Wilbraham  Massachusetts  US,527 Emmerich Heights Unit 45,Stoneham,Massachusetts,2180,Yasmine Ruecker,44
16bf0c10-0649-49e9-b8a7-7f85851f85b1,1972-02-11,2005-07-08,999-46-3460,S99961465,X48698223X,Mrs.,Ida,Casper,NA,Breitenberg,M,white,irish,F,Westfield  Massachusetts  US,404 Pacocha Alley Unit 9,Somerville,Massachusetts,2138,Ida Casper,47
3091d9df-c3fc-45e8-9069-d8f99532da56,2000-09-04,,999-77-4520,S99976909,,Ms.,Dean,Schumm,NA,,,asian,chinese,F,South Hadley  Massachusetts  US,1073 Jerde Quay,Westford,Massachusetts,NA,Dean Schumm,18
1410932b-c665-4e72-b1d1-bea12e356bb4,1973-03-13,,999-80-4366,S99938478,X63146096X,Mrs.,Consuelo,Luettgen,NA,Rowe,M,hispanic,south_american,F,Buenos Aires  Ciudad de Buenos Aires  AR,579 Kuhlman Quay Unit 96,Sudbury,Massachusetts,NA,Consuelo Luettgen,46
075cc594-7207-4dcd-a0c0-95ed9a4c526d,1970-08-25,,999-32-9651,S99975174,X83417947X,Mrs.,Ashlyn,Gaylord,NA,Hettinger,M,white,italian,F,West Brookfield  Massachusetts  US,546 Auer Hollow,Taunton,Massachusetts,2718,Ashlyn Gaylord,48
0531165c-222c-4a66-82b8-7d3ead6d9035,1950-07-09,,999-31-9791,S99965428,X19252382X,Mrs.,Micaela,Walter,NA,Tillman,M,white,french_canadian,F,Dudley  Massachusetts  US,667 Leuschke Arcade Unit 60,Brockton,Massachusetts,2301,Micaela Walter,69
4849294f-07af-4c1f-b08e-7c6d089e16fd,1996-10-31,,999-12-5378,S99967710,X25252524X,Ms.,Kristen,Donnelly,NA,,,white,american,F,Winchendon  Massachusetts  US,470 Bosco Neck Suite 28,Boston,Massachusetts,2108,Kristen Donnelly,22
3779221d-299f-425f-a774-3784da3228e9,2006-01-11,,999-51-7030,,,,Ramón,Hurtado,NA,,,hispanic,mexican,M,Mexico City  Mexico City  MX,288 Mills Light,Newton,Massachusetts,2458,Ramón Hurtado,13
0c780a89-ec78-42b6-9c83-64627685fed0,1948-02-17,1997-02-11,999-89-9528,S99981894,X1830457X,Mr.,Colton,Kessler,NA,,S,white,american,M,Ipswich  Massachusetts  US,176 Torphy Highlands Suite 77,Amherst,Massachusetts,NA,Colton Kessler,71
022ee3c0-1970-4d54-9383-9ce2a2d6cfd9,1948-03-12,,999-72-2182,S99971874,X31267723X,Mr.,Lynwood,Connelly,NA,,M,hispanic,central_american,M,New Bedford  Massachusetts  US,736 Rodriguez Ville Apt 69,Lynn,Massachusetts,1901,Lynwood Connelly,71
4e84cbba-25a1-4946-b6c7-7e11c50295fd,1995-05-01,,999-96-3837,S99977676,X6511622X,Mr.,Allen,Hand,NA,,,white,polish,M,Duxbury  Massachusetts  US,204 Frami Rue Unit 17,Leicester,Massachusetts,NA,Allen Hand,24
141e74dc-db1b-4120-bf63-de6acd15498f,1981-10-09,,999-51-8896,S99961361,X28285067X,Mr.,Gilbert,Bahringer,NA,,M,white,english,M,Lenox  Massachusetts  US,667 Harris Gate Suite 82,Holliston,Massachusetts,NA,Gilbert Bahringer,37
38050d7a-c177-411c-8e18-7d040443f13f,1950-10-31,,999-36-8121,S99917039,X74513970X,Mr.,Mel,Glover,NA,,M,white,english,M,Haverhill  Massachusetts  US,623 Howell Camp,Hingham,Massachusetts,2043,Mel Glover,68
435c3f7f-d986-4d81-9cbf-a46d3fb0cbb0,1992-02-05,,999-56-7480,S99911904,X36084862X,Mr.,Stephan,Schmeler,NA,,M,asian,chinese,M,Beijing  Beijing Municipality  CN,1002 Koch Crossroad Apt 42,New Bedford,Massachusetts,2740,Stephan Schmeler,27
53617464-c707-4ff0-9518-faa235d2d3cf,1998-11-08,,999-17-1205,S99919839,X88747958X,Mr.,Rocky,Hudson,NA,,,white,english,M,Springfield  Massachusetts  US,955 Conn Common Unit 33,West Bridgewater,Massachusetts,NA,Rocky Hudson,20
4ffea154-1548-4bd5-825a-779503601eab,1994-06-15,,999-22-7290,S99931581,X80816336X,Mr.,Lyman,Grant,NA,,,white,irish,M,Northfield  Massachusetts  US,207 Schimmel Viaduct,Canton,Massachusetts,NA,Lyman Grant,25
132bd38f-e186-4867-a21f-615dd5cadb8d,1910-08-23,2007-04-24,999-68-5267,S99999643,X49706068X,Mr.,Carlton,Koepp,NA,,M,black,dominican,M,Gardner  Massachusetts  US,771 Lebsack Ramp,Revere,Massachusetts,2151,Carlton Koepp,108
15963f08-c18c-4ece-97ce-4067df988243,1979-11-14,,999-72-4355,S99914217,X56814340X,Mr.,Benton,Hills,NA,,M,white,irish,M,Methuen  Massachusetts  US,968 Stamm Orchard Unit 97,Methuen,Massachusetts,1841,Benton Hills,39
49046638-ec2f-48d6-b89a-9abcea74f493,1980-05-03,,999-33-7787,S99960670,X65194226X,Mr.,Rudy,Emard,NA,,S,white,french,M,Worcester  Massachusetts  US,132 Deckow Approach,Waltham,Massachusetts,2451,Rudy Emard,39
34b2ced6-5c6a-4e29-8d9e-c2835002755b,1910-08-23,,999-64-7752,S99967806,X27838961X,Mr.,Sanford,Prosacco,NA,,M,black,dominican,M,Rutland  Massachusetts  US,488 Spencer Gate Suite 46,Revere,Massachusetts,2151,Sanford Prosacco,108
0de62dd2-215c-430e-bf9d-e4c770d1898b,1999-03-10,,999-77-2386,S99910479,X74948144X,Mr.,Miguel,Valles,NA,,,hispanic,puerto_rican,M,San Juan  Puerto Rico  PR,716 Crona Station Unit 98,Methuen,Massachusetts,1841,Miguel Valles,20
1ac91c7f-de49-427e-81d7-e4beb470dbe0,1994-05-02,,999-82-4225,S99999280,X85758154X,Mr.,Dee,Cormier,NA,,,asian,asian_indian,M,Ware  Massachusetts  US,683 Medhurst Bridge Unit 7,Boston,Massachusetts,2108,Dee Cormier,25
0874883f-bedf-4a30-aa4f-965a3c9a70a4,1948-08-31,,999-35-9105,S99971389,X25314044X,Mr.,Chris,Bahringer,NA,,M,asian,chinese,M,Chongqing  Chongqing Municipality  CN,264 Muller Ferry,Boston,Massachusetts,2108,Chris Bahringer,70
13423233-1595-40f4-90ae-8520000d7699,1975-06-19,,999-11-1060,S99953897,X7963816X,Mr.,Julian,Doyle,NA,,M,white,french,M,Cambridge  Massachusetts  US,339 Farrell Glen,Webster,Massachusetts,1570,Julian Doyle,44
364ef961-5763-4246-a6d3-4d586a1070bf,1978-08-01,,999-49-7026,S99997771,X27237799X,Mr.,Tracy,Steuber,NA,,M,white,irish,M,Belchertown  Massachusetts  US,910 Bins Fork Apt 7,Stoughton,Massachusetts,NA,Tracy Steuber,40
353864dc-7ef4-42a6-af7d-e73fbab80b01,1976-08-11,,999-89-4560,S99989145,X88615110X,Mr.,Nicolas,Streich,NA,,M,white,french,M,Melrose  Massachusetts  US,782 Heidenreich Mission Apt 20,Millville,Massachusetts,NA,Nicolas Streich,42
08927a4c-25a6-4b60-b0d7-d0ac0724ce73,1987-04-08,,999-50-8113,S99976801,X1691198X,Mr.,Coy,Mitchell,NA,,S,white,american,M,Medford  Massachusetts  US,593 Stokes Quay Apt 60,Arlington,Massachusetts,2474,Coy Mitchell,32
1685044e-52bc-466b-8ba4-4f4e50b2c833,1989-12-29,,999-23-8255,S99937582,X49643443X,Mr.,Mckinley,Durgan,NA,,M,white,portuguese,M,Cambridge  Massachusetts  US,787 Klocko Throughway Unit 46,Burlington,Massachusetts,1730,Mckinley Durgan,29
436e2a86-96d1-42e2-b926-20d4159a3289,1981-04-12,,999-93-3907,S99982223,X9268006X,Mr.,Franklyn,Lesch,NA,,M,white,american,M,Fall River  Massachusetts  US,1026 Langworth Esplanade Apt 29,Boston,Massachusetts,2108,Franklyn Lesch,38
5464004e-f9c4-481c-bc28-d93fa5ba861d,1985-07-04,,999-33-3836,S99945806,X80058174X,Mr.,Richard,O'Keefe,NA,,M,white,portuguese,M,Porto  Douro Litoral  PT,670 Dooley Crossing,Wilmington,Massachusetts,1887,Richard O'Keefe,34
0ef18439-d319-4271-8749-1805438e838f,1937-10-15,,999-31-9772,S99989721,X59946644X,Mr.,Keven,Hansen,NA,,M,white,english,M,Lynn  Massachusetts  US,726 Hane Tunnel,North Andover,Massachusetts,NA,Keven Hansen,81
323ae187-7fe2-4467-8124-8e0d64a5c6a4,1945-07-21,,999-27-3279,S99986803,X79298149X,Mr.,Nigel,Jakubowski,NA,,M,black,west_indian,M,Santo Domingo  National District  DO,289 Lebsack Crossing Unit 31,Palmer,Massachusetts,1009,Nigel Jakubowski,74
3718e8c9-11de-45cd-a2ec-2c7a1fd46314,1981-11-17,,999-61-7594,S99918298,X39789033X,Mr.,Chang,Bashirian,NA,,S,white,american,M,West Bridgewater  Massachusetts  US,826 O'Kon Underpass,Worcester,Massachusetts,1545,Chang Bashirian,37
32db6924-7327-4a5d-9e9f-aa841370913f,1996-08-05,,999-72-1799,S99930088,X69847407X,Mr.,Brooks,Prosacco,NA,,,white,portuguese,M,Funchal  Madeira  PT,997 Mraz Terrace,Wilbraham,Massachusetts,1095,Brooks Prosacco,22
258c7a1c-6d92-4460-9f87-b62e5a8cd032,1947-07-23,,999-23-5062,S99994421,X70515413X,Mr.,Boyce,Marvin,NA,,M,white,irish,M,Rowley  Massachusetts  US,223 Walker Glen Suite 24,Brockton,Massachusetts,2301,Boyce Marvin,72
1ce13068-1d77-43dd-81dc-a7a7124bb2b0,1945-07-19,,999-13-8785,S99982762,X53525030X,Mr.,Sang,Hoeger,NA,,M,white,irish,M,Brookline  Massachusetts  US,819 King Rapid Apt 80,Chelmsford,Massachusetts,NA,Sang Hoeger,74
